
, , , , , , , , , , , , , , , , , , , , , , 
ID DATA, Industry Number, , , , IN, 6, , , , , , , , , , , , , , , , 
, Date, , , , , 44976, , , , , , , , , , , , , , , , 
, Course ID, , , , , Strategy-Decision-Making-Spring 2023, , , , , , , , , , , , , , , , 
, Number of Companies, , , , NUMCO, 4, , , , , , , , , , , , , , , , 
, Year, , , , YR, 10, , , , , , , , , , , , , , , , 
, Bonus Points, , , , , 1, , , , , , , , , , , , , , , , 
, Practice, , , , , 0, , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , none, , , , , , , , , , , , , , , 
COMPANIES, Company A, , , 1, A, 1, A Company, , , , , , , , , , , , , , , 
, Company B, , , 2, B, 1, B Company, , , , , , , , , , , , , , , 
, Company C, , , 3, C, 1, C Company, , , , , , , , , , , , , , , 
, Company D, , , 4, D, 1, D Company, , , , , , , , , , , , , , , 
, Company E, , , 5, E, 0, , , , , , , , , , , , , , , , 
, Company F, , , 6, F, 0, , , , , , , , , , , , , , , , 
, Company G, , , 7, G, 0, , , , , , , , , , , , , , , , 
, Company H, , , 8, H, 0, , , , , , , , , , , , , , , , 
, Company I, , , 9, I, 0, , , , , , , , , , , , , , , , 
, Company J, , , 10, J, 0, , , , , , , , , , , , , , , , 
, Company K, , , 11, K, 0, , , , , , , , , , , , , , , , 
, Company L, , , 12, L, 0, , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
SCORING, Scoring Variables ------------------------, , , EPS, , 0.2, , , , , , , , , , , , , , , , 
  WEIGHTS, , , , ROE, , 0.2, , , , , , , , , , , , , , , , 
, , , , Stock Price, , 0.2, , , , , , , , , , , , , , , , 
